,Price,Brand,Model,Edition,Year,Condition,Transmission,Body,Fuel,Capacity,Mileage
0,12900000,Honda,Vezel,Limited,2017,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc",37000
1,16250000,Jaguar,XF,Fully Loaded,2013,Used,Automatic,Saloon,Diesel,"2,200 cc",42000
2,17000000,Toyota,CHR,GT New Face 2wd,2020,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",15000
3,13000000,Toyota,CHR,Toyato,2017,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",21000
4,33500000,Toyota,Land Cruiser Prado,prado,2015,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc",57000
5,4790000,Suzuki,Alto,Suzuki Alto Japan,2017,Used,Automatic,Hatchback,Petrol,650 cc,46521
6,9200000,MG,ZS,SUV,2018,Used,Automatic,SUV / 4x4,Petrol,"1,000 cc",60000
7,7800000,Toyota,Vitz,FM Safety Edition 2,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc",29000
8,19990000,Mitsubishi,Montero,2014,2013,Used,Automatic,SUV / 4x4,Diesel,"3,200 cc",110000
9,4885000,Suzuki,Wagon R FX,Safety,2016,Used,Automatic,Hatchback,Petrol,650 cc,68000
10,12400000,Toyota,CHR,NGX 50 GT Turbo,2017,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",37000
11,1750000,Peugeot,405,GLD,1995,Used,Manual,Saloon,Diesel,"1,905 cc",150000
12,8250000,Toyota,Allion,260,2007,Used,Automatic,Saloon,Petrol,"1,800 cc",115000
13,20800000,Toyota,Harrier,Premium,2015,Used,Automatic,SUV / 4x4,Hybrid,"2,500 cc",92000
14,5700000,Suzuki,Wagon R FZ,Premium,2018,Used,Automatic,Hatchback,Hybrid,660 cc,20300
15,8050000,Toyota,Aqua,G Grade,2016,Used,Automatic,Hatchback,Petrol,"1,500 cc",49750
16,5025000,Honda,Fit,GP1,2012,Used,Automatic,Hatchback,Hybrid,"1,300 cc",108000
17,24500000,Mercedes Benz,E300,BLUETEC HYBRID,2015,Used,Tiptronic,Saloon,Diesel,"2,143 cc",53000
18,6095000,Toyota,Prius,2010,2010,Used,Automatic,Saloon,Petrol,"1,800 cc",79000
19,50500000,Land Rover,Discovery,5 Hse,2018,Used,Tiptronic,SUV / 4x4,Diesel,"2,000 cc",17000
20,700000,Mitsubishi,Lancer,Box,1985,Used,Manual,Saloon,Petrol,"1,400 cc",100000
21,19300000,Land Rover,Defender,110 Puma 2.4,2008,Used,Manual,SUV / 4x4,Diesel,"2,400 cc",117000
22,14500000,Toyota,Axio,WXB 2019,2019,Used,Automatic,Saloon,Hybrid,"1,500 cc",17000
23,8400000,BMW,520i,E60 M SPORT,2003,Used,Automatic,Saloon,Petrol,"2,200 cc",160000
24,6200000,Suzuki,Wagon R,Stingray,2018,Used,Automatic,Hatchback,Petrol,650 cc,95000
25,2800000,Suzuki,Alto,Alto 2015,2015,Used,Manual,Hatchback,Petrol,800 cc,84000
26,4790000,Suzuki,Wagon R,STINGRAY,2014,Used,Automatic,MPV,CNG,660 cc,68000
27,8850000,Suzuki,Swift,TURBO,2019,Used,Automatic,Hatchback,Petrol,"1,500 cc",110000
28,5950000,Toyota,Aqua,S Grade,2013,Used,Automatic,Hatchback,Petrol,"1,490 cc",109000
29,9650000,Toyota,Land Cruiser Prado,TX L,2008,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc",190000
30,2985000,Suzuki,Alto,LXI INDIAN,2015,Used,Manual,Hatchback,Petrol,800 cc,61235
31,9300000,Honda,Vezel,Ivory Package Z 2016,2015,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc",80500
32,4850000,Hyundai,Elantra,AUTO KOREA,2008,Used,Automatic,Saloon,Petrol,"1,580 cc",125485
33,5250000,Toyota,Avanza,G Grade 7 Seater,2012,Used,Manual,MPV,Petrol,"1,500 cc",145000
34,6200000,Toyota,Yaris,(used),2008,Used,Automatic,Saloon,Petrol,"1,300 cc",120000
35,8950000,Toyota,Axio,G Grade 2014,2014,Used,Automatic,Saloon,Hybrid,"1,500 cc",72000
36,8750000,Toyota,Premio,2010 1st owner,2010,Used,Automatic,Saloon,Petrol,"1,490 cc",66000
37,4900000,Suzuki,Hustler,safety,2015,Used,Automatic,SUV / 4x4,Hybrid,650 cc,50500
38,17800000,Audi,A3,Audi,2019,Used,Tiptronic,Saloon,Petrol,"1,000 cc",22000
39,14000000,Honda,Vezel,Sensing,2019,Used,Tiptronic,MPV,Petrol,"1,500 cc",9400
40,12300000,Toyota,Raize,Raize Z Grade,2020,Used,Automatic,SUV / 4x4,Petrol,"1,000 cc",11500
41,5250000,Toyota,Prius,(used),2008,Used,Automatic,Saloon,Hybrid,"1,500 cc",156000
42,62500000,Mercedes Benz,GLE 300D,DIMO,2019,Used,Automatic,SUV / 4x4,Diesel,"2,000 cc",5000
43,2685000,Daihatsu,Mira,Auto 2003 japan,1999,Used,Automatic,Hatchback,Petrol,650 cc,130452
44,10775000,Toyota,Axio,G Grade,2016,Reconditioned,Automatic,Saloon,Hybrid,"1,500 cc",68000
45,3975000,Nissan,Sunny,N 17 1600cc manual,2003,Reconditioned,Manual,Saloon,Petrol,"1,600 cc",158000
46,14450000,Toyota,Land Cruiser Prado,TX Limited,2008,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc",118000
47,2650000,Micro,Panda,2017,2017,Used,Manual,Hatchback,Petrol,"1,000 cc",49300
48,61500000,BMW,740Le,M-Sport,2018,Used,Automatic,Saloon,Petrol,"2,000 cc",12000
49,26000000,Lexus,NX300H,Lexus Nx300h,2015,Used,Tiptronic,SUV / 4x4,Petrol,"2,500 cc",101000
50,35000000,BMW,X5,M-Sport,2016,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc",42000
